query_id,weight
1,1.1
2,1.2
3,1.25
4,1.0
5,1.1
6,1.2
7,1.25
8,1.0
9,1.1
10,1.2
11,1.25
12,1.0
13,1.1
14,1.2
15,1.25
16,1.0
17,1.1
18,1.2
19,1.25
20,1.0
21,1.1
22,1.2
23,1.25
24,1.0
25,1.1
26,1.2
27,1.25
28,1.0
29,1.1
30,1.2
31,1.25
32,1.0
33,1.1
34,1.2
35,1.25
36,1.0
37,1.1
38,1.2
39,1.25
40,1.0
41,1.1
42,1.2
43,1.25
44,1.0
45,1.1
46,1.2
47,1.25
48,1.0
49,1.1
50,1.2
51,1.25
52,1.0
53,1.1
54,1.2
55,1.25
56,1.0
57,1.1
58,1.2
59,1.25
60,1.0
61,1.1
62,1.2
63,1.25
64,1.0
65,1.1
66,1.2
67,1.25
68,1.0
69,1.1
70,1.2
71,1.25
72,1.0
73,1.1
74,1.2
75,1.25
76,1.0
77,1.1
78,1.2
79,1.25
80,1.0
81,1.1
82,1.2
83,1.25
84,1.0
85,1.1
86,1.2
87,1.25
88,1.0
89,1.1
90,1.2
91,1.25
92,1.0
93,1.1
94,1.2
95,1.25
96,1.0
97,1.1
98,1.2
99,1.25
100,1.0
101,1.1
102,1.2
103,1.25
104,1.0
105,1.1
106,1.2
107,1.25
108,1.0
109,1.1
110,1.2
111,1.25
112,1.0
113,1.1
114,1.2
115,1.25
116,1.0
117,1.1
118,1.2
119,1.25
120,1.0
121,1.1
122,1.2
123,1.25
124,1.0
125,1.1
126,1.2
127,1.25
128,1.0
129,1.1
130,1.2
131,1.25
132,1.0
133,1.1
134,1.2
135,1.25
136,1.0
137,1.1
138,1.2
139,1.25
140,1.0
141,1.1
142,1.2
143,1.25
144,1.0
145,1.1
146,1.2
147,1.25
148,1.0
149,1.1
150,1.2
151,1.25
152,1.0
153,1.1
154,1.2
155,1.25
156,1.0
157,1.1
158,1.2
159,1.25
160,1.0
161,1.1
162,1.2
163,1.25
164,1.0
165,1.1
166,1.2
167,1.25
168,1.0
169,1.1
170,1.2
171,1.25
172,1.0
173,1.1
174,1.2
175,1.25
176,1.0
177,1.1
178,1.2
179,1.25
180,1.0
181,1.1
182,1.2
183,1.25
184,1.0
185,1.1
186,1.2
187,1.25
188,1.0
189,1.1
190,1.2
191,1.25
192,1.0
193,1.1
194,1.2
195,1.25
196,1.0
197,1.1
198,1.2
199,1.25
200,1.0
201,1.1
202,1.2
203,1.25
204,1.0
205,1.1
206,1.2
207,1.25
208,1.0
209,1.1
210,1.2
211,1.25
212,1.0
213,1.1
214,1.2
215,1.25
216,1.0
217,1.1
218,1.2
219,1.25
220,1.0
221,1.1
222,1.2
223,1.25
224,1.0
225,1.1
226,1.2
227,1.25
228,1.0
229,1.1
230,1.2
231,1.25
232,1.0
233,1.1
234,1.2
235,1.25
236,1.0
237,1.1
238,1.2
239,1.25
240,1.0
241,1.1
242,1.2
243,1.25
244,1.0
245,1.1
246,1.2
247,1.25
248,1.0
249,1.1
250,1.2
251,1.25
252,1.0
253,1.1
254,1.2
255,1.25
256,1.0
257,1.1
258,1.2
259,1.25
260,1.0
261,1.1
262,1.2
263,1.25
264,1.0
265,1.1
266,1.2
267,1.25
268,1.0
269,1.1
270,1.2
271,1.25
272,1.0
273,1.1
274,1.2
275,1.25
276,1.0
277,1.1
278,1.2
279,1.25
280,1.0
281,1.1
282,1.2
283,1.25
284,1.0
285,1.1
286,1.2
287,1.25
288,1.0
289,1.1
290,1.2
291,1.25
292,1.0
293,1.1
294,1.2
295,1.25
296,1.0
297,1.1
298,1.2
299,1.25
300,1.0
301,1.1
302,1.2
303,1.25
304,1.0
305,1.1
306,1.2
307,1.25
308,1.0
309,1.1
310,1.2
311,1.25
312,1.0
313,1.1
314,1.2
315,1.25
316,1.0
317,1.1
318,1.2
319,1.25
320,1.0
321,1.1
322,1.2
323,1.25
324,1.0
325,1.1
326,1.2
327,1.25
328,1.0
329,1.1
330,1.2
331,1.25
332,1.0
333,1.1
334,1.2
335,1.25
336,1.0
337,1.1
338,1.2
339,1.25
340,1.0
341,1.1
342,1.2
343,1.25
344,1.0
345,1.1
346,1.2
347,1.25
348,1.0
349,1.1
350,1.2
351,1.25
352,1.0
353,1.1
354,1.2
355,1.25
356,1.0
357,1.1
