query_id,item_id,engage_score,dt,topic_match,city_match,json_missing
29,I245,0,20260816,0.0,0.0,1.0
29,I487,0,20260816,0.685919,1.0,0.0
29,I556,4,20260816,0.726537,0.0,0.0
29,I195,0,20260816,0.196428,0.0,0.0
29,I584,0,20260816,0.271709,0.0,0.0
29,I266,0,20260816,0.086914,0.0,0.0
30,I517,0,20260816,0.16096,1.0,0.0
30,I289,0,20260816,0.0,0.0,1.0
30,I302,0,20260816,0.457936,1.0,0.0
30,I117,0,20260816,0.171713,1.0,0.0
30,I364,3,20260816,0.843665,0.0,0.0
30,I677,0,20260816,0.809503,0.0,0.0
30,I382,0,20260816,0.337659,1.0,0.0
30,I565,0,20260816,0.433212,0.0,0.0
31,I186,3,20260816,0.860457,0.0,0.0
31,I235,0,20260816,0.0,0.0,1.0
31,I500,0,20260816,0.542253,1.0,0.0
31,I694,0,20260816,0.151645,0.0,0.0
31,I099,0,20260816,0.946961,0.0,0.0
31,I034,0,20260816,0.290031,0.0,0.0
31,I071,0,20260816,0.386362,1.0,0.0
32,I108,0,20260816,0.716244,1.0,0.0
32,I312,0,20260816,0.205773,0.0,0.0
32,I631,0,20260816,0.228046,1.0,0.0
32,I514,1,20260816,0.856097,1.0,0.0
32,I521,0,20260816,0.550124,1.0,0.0
32,I469,0,20260816,0.070658,0.0,0.0
32,I296,0,20260816,0.056052,0.0,0.0
33,I460,0,20260816,0.341936,1.0,0.0
33,I607,0,20260816,0.312731,0.0,0.0
33,I380,0,20260816,0.721174,0.0,0.0
33,I434,0,20260816,0.733931,1.0,0.0
33,I062,0,20260816,0.0,0.0,1.0
33,I303,4,20260816,0.700226,1.0,0.0
34,I557,1,20260816,0.825635,1.0,0.0
34,I289,0,20260816,0.401835,1.0,0.0
34,I654,0,20260816,0.711399,1.0,0.0
34,I593,0,20260816,0.391304,0.0,0.0
34,I006,0,20260816,0.388628,0.0,0.0
34,I178,0,20260816,0.335396,1.0,0.0
34,I096,0,20260816,0.468762,0.0,0.0
35,I466,0,20260816,0.341243,0.0,0.0
35,I682,0,20260816,0.15442,0.0,0.0
35,I623,0,20260816,0.519194,1.0,0.0
35,I661,0,20260816,0.0,0.0,1.0
35,I032,4,20260816,0.787688,1.0,0.0
35,I665,0,20260816,0.340653,1.0,0.0
35,I668,0,20260816,0.725281,1.0,0.0
35,I272,0,20260816,0.827478,1.0,0.0
36,I443,0,20260816,0.507798,1.0,0.0
36,I174,0,20260816,0.313593,1.0,0.0
36,I333,0,20260816,0.526095,1.0,0.0
36,I475,0,20260816,0.317538,1.0,0.0
36,I659,0,20260816,0.52551,1.0,0.0
36,I102,0,20260816,0.184895,0.0,0.0
36,I045,0,20260816,0.574913,1.0,0.0
36,I560,1,20260816,0.920387,1.0,0.0
37,I054,0,20260816,0.236978,0.0,0.0
37,I552,0,20260816,0.369666,1.0,0.0
37,I640,0,20260816,0.075752,0.0,0.0
37,I407,0,20260816,0.448984,1.0,0.0
37,I430,0,20260816,0.27863,1.0,0.0
37,I486,4,20260816,0.588707,0.0,0.0
37,I056,0,20260816,0.484967,1.0,0.0
37,I044,0,20260816,0.30902,0.0,0.0
38,I367,0,20260816,0.18784,1.0,0.0
38,I676,3,20260816,0.815605,1.0,0.0
38,I614,0,20260816,0.65881,0.0,0.0
38,I430,0,20260816,0.33982,0.0,0.0
38,I401,0,20260816,0.0,0.0,1.0
38,I553,0,20260816,0.52583,0.0,0.0
38,I234,0,20260816,0.511041,1.0,0.0
39,I352,0,20260816,0.0,0.0,1.0
39,I049,0,20260816,0.609347,1.0,0.0
39,I203,3,20260816,0.62638,1.0,0.0
39,I652,0,20260816,0.082845,0.0,0.0
39,I369,0,20260816,0.759098,1.0,0.0
39,I098,0,20260816,0.316094,0.0,0.0
39,I644,0,20260816,0.082523,1.0,0.0
40,I645,0,20260816,0.812522,0.0,0.0
40,I191,0,20260816,0.369798,1.0,0.0
40,I099,0,20260816,0.226582,1.0,0.0
40,I198,0,20260816,0.109908,0.0,0.0
40,I688,0,20260816,0.419629,0.0,0.0
40,I331,1,20260816,0.770417,1.0,0.0
40,I424,0,20260816,0.429363,0.0,0.0
40,I105,0,20260816,0.132756,0.0,0.0
