item_id,dt,quality,freshness,title_len,author_score,hist_ctr,dwell_sec,share_rate,tag_n,tag_unique_n,catalog_type_n,bundle_seq_n,like_per_exp,share_per_exp
I000,20260831,0.518805,0.335649,26.0,0.219526,0.467539,22.825959,0.046855,3.0,3.0,3.0,7.0,0.08621,0.022296
I001,20260831,0.364758,1.0,9.0,0.744978,0.514967,14.578171,0.239561,1.0,1.0,4.0,2.0,0.129059,0.040542
I002,20260831,0.784741,0.237762,62.0,0.609573,0.610003,13.049245,0.069833,7.0,7.0,5.0,3.0,0.126123,0.025192
I003,20260831,0.33831,0.444389,73.0,0.373648,0.39988,5.014517,0.152516,11.0,3.0,3.0,4.0,0.123822,0.032125
I004,20260831,0.602886,0.389657,72.0,0.416683,0.39407,13.855408,0.051274,2.0,1.0,1.0,8.0,0.088327,0.03909
I005,20260831,0.393238,0.179448,36.0,0.518633,0.375301,12.387906,0.016182,5.0,1.0,1.0,2.0,0.09092,0.0
I006,20260831,0.43309,0.305727,10.0,0.188644,0.488719,12.298324,0.271192,9.0,5.0,5.0,4.0,0.073054,0.035492
I007,20260831,0.74273,0.004027,47.0,0.27266,0.436564,48.072931,0.060846,4.0,3.0,3.0,1.0,0.123065,0.017375
I008,20260831,0.314303,0.539754,12.0,0.865194,0.444204,39.140467,0.078376,10.0,2.0,4.0,2.0,0.119507,0.025055
I009,20260831,0.622707,0.70831,78.0,0.589313,0.272903,6.456997,0.117287,6.0,6.0,4.0,5.0,0.122803,0.032511
I010,20260831,0.548397,0.460633,30.0,0.766936,0.502539,5.030518,0.186141,7.0,7.0,5.0,5.0,0.037856,0.029718
I011,20260831,0.85521,0.367409,67.0,0.144414,0.481786,5.406946,0.173383,7.0,7.0,4.0,7.0,0.139545,0.03382
I012,20260831,0.166489,0.445972,12.0,0.66455,0.501498,15.23101,0.236216,9.0,3.0,5.0,2.0,0.02216,0.029818
I013,20260831,0.31704,0.152193,65.0,0.483489,0.406131,16.167295,0.161231,7.0,6.0,5.0,8.0,0.063381,0.02463
I014,20260831,0.304275,0.838181,40.0,0.116409,0.453729,21.656017,0.248235,10.0,6.0,4.0,1.0,0.085163,0.048437
I015,20260831,0.284666,0.503608,12.0,0.234698,0.306723,20.489317,0.011916,11.0,4.0,4.0,3.0,0.112726,0.01401
I016,20260831,0.475309,1.0,61.0,0.091735,0.439542,13.195663,0.339545,8.0,4.0,4.0,4.0,0.051477,0.046669
I017,20260831,0.629338,0.705073,71.0,0.946263,0.603599,4.899676,0.020175,2.0,1.0,5.0,3.0,0.172506,0.027508
I018,20260831,0.356583,0.804002,54.0,0.922878,0.344109,20.913784,0.034852,4.0,4.0,3.0,1.0,0.010217,0.021187
I019,20260831,0.375823,0.707099,20.0,0.141346,0.369201,8.509759,0.107626,6.0,6.0,5.0,2.0,0.071157,0.00812
I020,20260831,0.115026,0.352567,54.0,0.204263,0.494538,17.496541,0.293176,7.0,3.0,1.0,1.0,0.084639,0.062804
I021,20260831,0.209519,0.253666,20.0,0.72538,0.399511,18.612291,0.030117,5.0,1.0,3.0,6.0,0.131474,0.010499
I022,20260831,0.077354,0.826496,22.0,0.489481,0.361146,1.0,0.145548,3.0,3.0,5.0,2.0,0.028302,0.018076
I023,20260831,0.494825,0.0,26.0,0.821569,0.525015,42.464597,0.010939,7.0,1.0,4.0,3.0,0.100491,0.015857
I024,20260831,0.033995,0.690519,54.0,0.708421,0.423456,28.70335,0.057375,2.0,2.0,2.0,5.0,0.062521,0.01038
I025,20260831,0.557863,0.837154,47.0,0.612497,0.476471,13.468316,0.088787,9.0,6.0,2.0,1.0,0.066913,0.008501
I026,20260831,0.390665,0.325642,26.0,0.319632,0.396951,5.44401,0.258201,10.0,3.0,2.0,1.0,0.110612,0.039799
I027,20260831,0.50463,0.36019,68.0,0.476054,0.302668,24.857755,0.222226,5.0,5.0,2.0,8.0,0.110008,0.033722
I028,20260831,0.176728,0.543206,29.0,0.354737,0.544172,18.331294,0.129062,6.0,6.0,2.0,3.0,0.04713,0.029811
I029,20260831,0.648571,0.35715,13.0,0.811188,0.362473,17.773619,0.062409,5.0,5.0,2.0,2.0,0.066127,0.01513
I030,20260831,0.628014,0.896086,57.0,0.919195,0.537741,53.509991,0.190967,10.0,3.0,3.0,4.0,0.128442,0.024631
I031,20260831,0.338196,0.732287,13.0,0.47773,0.559615,32.940183,0.054851,10.0,1.0,3.0,6.0,0.050425,0.03054
I032,20260831,0.216317,0.325378,57.0,0.467023,0.51193,7.271055,0.470308,2.0,2.0,4.0,3.0,0.108149,0.087279
I033,20260831,0.485419,0.0,40.0,0.655429,0.625289,11.106259,0.167506,7.0,3.0,2.0,5.0,0.124812,0.040779
I034,20260831,0.711543,0.713487,59.0,0.52589,0.657044,28.808738,0.204452,9.0,2.0,5.0,8.0,0.132985,0.029571
I035,20260831,0.535322,0.387859,21.0,0.752417,0.601115,37.412039,0.046474,6.0,6.0,5.0,8.0,0.02488,0.0
I036,20260831,0.489943,0.780111,67.0,0.661892,0.619157,22.66887,0.224393,3.0,1.0,1.0,2.0,0.087637,0.05151
I037,20260831,0.168117,0.782843,18.0,0.33213,0.479565,12.835167,0.107671,10.0,2.0,4.0,5.0,0.068738,0.013674
I038,20260831,0.483014,0.555471,26.0,0.718223,0.219989,11.527453,0.189329,9.0,4.0,4.0,8.0,0.140594,0.041991
I039,20260831,0.923031,0.731265,14.0,0.766069,0.45887,53.976828,0.038553,8.0,2.0,2.0,3.0,0.170603,0.016073
I040,20260831,0.418961,0.09619,39.0,0.331797,0.549985,15.119111,0.092665,4.0,3.0,5.0,8.0,0.136512,0.055761
I041,20260831,0.467392,0.778702,25.0,0.646859,0.375898,1.0,0.060394,9.0,5.0,1.0,7.0,0.162788,0.004939
I042,20260831,0.100273,0.675514,14.0,0.403622,0.578647,13.337517,0.277882,3.0,1.0,1.0,8.0,0.112621,0.048164
I043,20260831,0.847678,0.811828,15.0,0.57584,0.656192,47.253676,0.130652,9.0,3.0,3.0,5.0,0.120243,0.028193
I044,20260831,0.823105,0.545107,76.0,0.585795,0.476291,22.750285,0.029992,4.0,4.0,5.0,4.0,0.111302,0.018525
I045,20260831,0.210306,0.749445,69.0,0.514596,0.44059,22.74566,0.281901,1.0,1.0,5.0,5.0,0.049515,0.027174
I046,20260831,0.832771,0.650353,78.0,0.545355,0.520317,47.868263,0.175383,10.0,2.0,1.0,6.0,0.169705,0.041644
I047,20260831,0.868246,0.427719,78.0,0.846542,0.458754,29.505978,0.066787,3.0,1.0,5.0,3.0,0.133703,0.01143
I048,20260831,0.335515,0.534965,73.0,0.130142,0.249411,10.888197,0.045944,10.0,3.0,5.0,2.0,0.081331,0.025185
I049,20260831,0.616546,0.565384,41.0,0.695309,0.325014,17.127525,0.023961,3.0,3.0,1.0,7.0,0.124662,0.016882
I050,20260831,0.542781,0.224605,66.0,0.416816,0.40584,39.2457,0.013027,8.0,3.0,5.0,1.0,0.158434,0.003681
I051,20260831,0.393346,0.758342,27.0,0.913469,0.415811,42.467017,0.004395,2.0,2.0,5.0,8.0,0.060572,0.015953
I052,20260831,0.16332,0.542267,70.0,0.774829,0.346534,48.340417,0.129795,2.0,2.0,1.0,3.0,0.060807,0.015861
I053,20260831,0.339619,0.622307,23.0,0.581303,0.7198,18.693164,0.350119,4.0,1.0,1.0,1.0,0.105486,0.05998
I054,20260831,0.489203,0.111411,49.0,0.150377,0.360386,1.0,0.077492,10.0,2.0,3.0,4.0,0.048102,0.023923
I055,20260831,0.51301,0.735775,33.0,0.379198,0.507935,5.643399,0.279245,4.0,2.0,2.0,2.0,0.166366,0.038225
I056,20260831,0.706529,0.0,54.0,0.642537,0.479991,2.225742,0.170498,10.0,3.0,5.0,6.0,0.147039,0.034264
I057,20260831,0.544968,0.410945,67.0,0.773796,0.235107,7.939205,0.08057,10.0,6.0,5.0,1.0,0.040525,0.010236
I058,20260831,0.248123,0.66783,65.0,0.247309,0.384768,19.810422,0.070169,11.0,6.0,1.0,5.0,0.075766,0.008404
I059,20260831,0.576612,0.367711,10.0,0.066512,0.191092,22.453237,0.009601,2.0,2.0,1.0,6.0,0.123238,0.010199
I060,20260831,0.435684,0.474749,75.0,0.288547,0.597325,1.0,0.077488,9.0,4.0,5.0,5.0,0.141571,0.015776
I061,20260831,0.164672,0.368179,39.0,0.800671,0.276059,26.268266,0.057726,3.0,3.0,3.0,7.0,0.036325,0.002324
I062,20260831,0.342497,0.486056,10.0,0.355963,0.474113,54.86606,0.001944,10.0,1.0,5.0,2.0,0.076389,0.004072
I063,20260831,0.128949,0.691467,77.0,0.518813,0.403076,27.211367,0.00123,2.0,2.0,5.0,1.0,0.073135,0.00867
I064,20260831,0.350595,0.605374,32.0,0.319567,0.544672,51.968107,0.069462,8.0,1.0,4.0,5.0,0.059913,0.009555
I065,20260831,0.395627,0.127158,15.0,0.612349,0.419899,22.102865,0.132459,7.0,4.0,2.0,4.0,0.095886,0.02195
I066,20260831,0.392312,0.610223,79.0,0.652883,0.602749,28.415915,0.216951,2.0,2.0,3.0,2.0,0.136292,0.034721
I067,20260831,0.340909,1.0,67.0,0.662966,0.502783,37.751838,0.011547,10.0,4.0,3.0,2.0,0.098883,0.000497
I068,20260831,0.270728,0.232119,10.0,0.866282,0.311573,94.871833,0.049101,5.0,2.0,3.0,3.0,0.053081,0.006836
I069,20260831,0.364295,0.597883,41.0,0.806619,0.615494,31.879397,0.165734,1.0,1.0,5.0,2.0,0.070626,0.031884
I070,20260831,0.329585,0.202722,70.0,0.798132,0.594534,28.779467,0.12122,11.0,6.0,1.0,4.0,0.130746,0.031688
I071,20260831,0.245184,0.449756,42.0,0.607955,0.460087,1.0,0.108731,1.0,1.0,4.0,7.0,0.0,0.018692
I072,20260831,0.796537,0.310019,28.0,0.756936,0.580323,81.618158,0.203058,4.0,4.0,3.0,4.0,0.17033,0.06351
I073,20260831,0.660768,0.567224,68.0,0.421207,0.542257,3.528199,0.256037,6.0,6.0,4.0,1.0,0.07984,0.05976
I074,20260831,0.392489,0.76005,26.0,0.725794,0.294721,35.848933,0.078744,2.0,2.0,4.0,2.0,0.063233,0.009535
I075,20260831,0.187853,0.486655,8.0,0.649364,0.305137,69.361407,0.101927,2.0,2.0,1.0,6.0,0.154656,0.030091
I076,20260831,0.50756,0.428913,47.0,0.608138,0.124277,10.205237,0.067352,10.0,5.0,4.0,8.0,0.079975,0.027323
I077,20260831,0.55418,0.901702,15.0,0.30239,0.628243,25.281558,0.214659,5.0,1.0,2.0,6.0,0.164111,0.035185
I078,20260831,0.697072,0.220601,75.0,0.633511,0.66347,47.109825,0.047601,5.0,5.0,4.0,1.0,0.101249,0.0
I079,20260831,0.667352,0.524933,57.0,0.74252,0.446795,35.593521,0.066395,3.0,3.0,5.0,3.0,0.171029,0.010662
I080,20260831,0.462529,0.556095,32.0,0.776399,0.459605,17.323027,0.058485,3.0,3.0,5.0,4.0,0.142332,0.005671
I081,20260831,0.29179,0.769899,16.0,0.524245,0.301621,6.976968,0.221309,3.0,3.0,5.0,8.0,0.114059,0.053488
I082,20260831,0.594451,0.382608,64.0,0.424401,0.281365,7.740765,0.129711,6.0,6.0,5.0,2.0,0.11306,0.025395
I083,20260831,0.232861,0.620909,28.0,0.507329,0.517539,17.34118,0.048981,1.0,1.0,2.0,5.0,0.096822,0.019492
I084,20260831,0.492642,0.632529,55.0,0.170585,0.602821,9.127819,0.054396,6.0,3.0,4.0,5.0,0.102822,0.013007
I085,20260831,0.180671,0.592493,30.0,0.462445,0.447749,35.670795,0.079901,4.0,4.0,3.0,8.0,0.019112,0.012479
I086,20260831,0.28728,0.344106,50.0,0.646812,0.449686,58.808987,0.050196,1.0,1.0,4.0,3.0,0.091383,0.0
I087,20260831,0.677342,0.435746,33.0,0.532464,0.278372,47.01899,0.076026,10.0,6.0,4.0,3.0,0.110135,0.013205
I088,20260831,0.587924,0.467999,28.0,0.37263,0.378973,1.0,0.099162,7.0,6.0,1.0,5.0,0.099769,0.016429
I089,20260831,0.662284,0.821385,11.0,0.323012,0.419885,28.810704,0.179274,9.0,1.0,3.0,2.0,0.170159,0.02839
I090,20260831,0.495127,0.329958,34.0,0.394471,0.621381,32.234483,0.011467,8.0,6.0,4.0,3.0,0.157098,0.007157
I091,20260831,0.147619,0.276647,31.0,0.693273,0.320453,5.096353,0.156305,3.0,3.0,3.0,6.0,0.132523,0.039898
I092,20260831,0.3234,0.533708,20.0,0.742502,0.366047,17.141519,0.021053,1.0,1.0,4.0,4.0,0.036006,0.017657
I093,20260831,0.437741,0.669984,43.0,0.308597,0.437247,25.666958,0.015054,2.0,2.0,3.0,4.0,0.174349,0.00688
I094,20260831,0.083565,0.309925,63.0,0.454849,0.442748,24.683969,0.201593,6.0,5.0,5.0,2.0,0.0,0.037904
I095,20260831,0.147121,0.988386,72.0,0.428382,0.139849,24.817779,0.312963,6.0,1.0,3.0,8.0,0.169694,0.077067
I096,20260831,0.493143,0.492522,53.0,0.714804,0.322535,26.743146,0.299418,3.0,3.0,1.0,1.0,0.051104,0.03909
I097,20260831,0.484466,0.629776,63.0,0.397545,0.471063,11.430414,0.138472,7.0,5.0,4.0,8.0,0.080307,0.021295
I098,20260831,0.55773,0.690368,60.0,0.430554,0.51808,16.36749,0.112474,3.0,3.0,4.0,7.0,0.19304,0.051419
I099,20260831,0.413177,0.64803,56.0,0.518745,0.617046,24.256115,0.044088,6.0,3.0,1.0,7.0,0.098352,0.0
I100,20260831,0.853944,0.257194,71.0,0.346644,0.667355,17.235574,0.074758,8.0,4.0,5.0,1.0,0.151871,0.021465
I101,20260831,0.69521,0.059645,28.0,0.794273,0.338816,19.207995,0.037738,5.0,5.0,2.0,5.0,0.091402,0.000406
I102,20260831,0.215958,0.599135,37.0,0.385541,0.681851,19.482667,0.135553,7.0,7.0,1.0,2.0,0.08252,0.020338
I103,20260831,0.216869,0.688089,38.0,0.659815,0.385617,16.472901,0.090245,8.0,6.0,4.0,4.0,0.141412,0.015644
I104,20260831,0.603818,0.666777,76.0,0.489183,0.491758,27.782961,0.089374,5.0,5.0,4.0,2.0,0.097742,0.009813
I105,20260831,0.277368,0.439222,10.0,0.435823,0.688566,27.822413,0.02499,7.0,3.0,3.0,8.0,0.051175,0.006349
I106,20260831,0.49615,0.544146,13.0,0.328439,0.247685,33.704225,0.070623,1.0,1.0,1.0,5.0,0.074385,1.7e-05
I107,20260831,0.441819,0.289672,36.0,0.731463,0.581889,38.50371,0.025265,9.0,7.0,1.0,3.0,0.162655,0.021028
I108,20260831,0.676607,0.462846,70.0,0.678629,0.279452,25.91197,0.009889,3.0,3.0,3.0,2.0,0.172176,0.032192
I109,20260831,0.694441,0.582251,66.0,0.708064,0.508619,27.225474,0.054136,10.0,1.0,4.0,3.0,0.091982,0.0
I110,20260831,0.431483,0.862863,67.0,0.539075,0.241437,16.250161,0.048693,9.0,5.0,3.0,3.0,0.021733,0.014099
I111,20260831,0.248625,0.931873,74.0,0.802615,0.472098,19.433435,0.339043,4.0,3.0,4.0,6.0,0.060216,0.06578
I112,20260831,0.190088,0.401789,47.0,0.608553,0.487434,13.128778,0.234914,11.0,7.0,1.0,5.0,0.051809,0.062035
I113,20260831,0.591966,0.474974,22.0,0.565724,0.561157,7.071094,0.123676,5.0,5.0,5.0,5.0,0.088157,0.030346
I114,20260831,0.699968,0.789829,60.0,0.489782,0.63586,39.785372,0.15534,7.0,5.0,5.0,3.0,0.117353,0.016412
I115,20260831,0.571525,0.697893,62.0,0.653799,0.530379,13.809963,0.160065,5.0,5.0,4.0,7.0,0.181748,0.046698
I116,20260831,0.866336,0.350489,42.0,0.136355,0.675713,10.114017,0.051627,1.0,1.0,3.0,4.0,0.148001,0.00087
I117,20260831,0.719136,0.139361,8.0,0.535374,0.577121,16.369051,0.176757,6.0,4.0,3.0,2.0,0.101946,0.032265
I118,20260831,0.328151,0.312245,70.0,0.417595,0.489392,1.0,0.023254,10.0,6.0,2.0,1.0,0.10448,0.0
I119,20260831,0.096682,0.474521,76.0,0.174904,0.275209,6.255213,0.087981,11.0,3.0,5.0,1.0,0.049036,0.033805
I120,20260831,0.538107,0.698402,42.0,0.330744,0.818479,13.245856,0.226706,2.0,2.0,3.0,8.0,0.096428,0.037418
I121,20260831,0.403221,0.645802,14.0,0.289673,0.28714,27.239444,0.008431,8.0,1.0,4.0,7.0,0.081047,0.004107
I122,20260831,0.505429,0.344943,64.0,0.918063,0.62888,40.899228,0.340907,7.0,6.0,2.0,3.0,0.115769,0.070024
I123,20260831,0.230641,0.180667,50.0,0.476634,0.191977,23.851118,0.25657,4.0,1.0,1.0,5.0,0.088766,0.050015
I124,20260831,0.520398,0.0,15.0,0.83902,0.442089,20.034182,0.16655,10.0,3.0,3.0,4.0,0.142691,0.029995
I125,20260831,0.702527,0.257043,30.0,0.750096,0.420087,3.248301,0.029753,6.0,6.0,3.0,2.0,0.123155,0.012061
I126,20260831,0.592414,0.538279,72.0,0.623653,0.388673,23.159369,0.135363,7.0,3.0,2.0,2.0,0.059357,0.017019
I127,20260831,0.242506,0.487939,38.0,0.606585,0.347749,53.836358,0.034207,10.0,5.0,1.0,7.0,0.069759,0.014497
I128,20260831,0.265609,0.395144,16.0,0.872497,0.37141,21.642279,0.039745,8.0,4.0,2.0,3.0,0.089548,0.0
I129,20260831,0.353854,0.61044,32.0,0.730902,0.646433,16.261911,0.023124,7.0,3.0,4.0,8.0,0.123016,0.008767
I130,20260831,0.306691,0.107052,41.0,0.821678,0.601173,37.071513,0.030008,3.0,3.0,3.0,2.0,0.132019,0.015323
I131,20260831,0.434056,0.50591,27.0,0.241724,0.427605,18.599804,0.037391,2.0,2.0,3.0,3.0,0.140274,0.000393
I132,20260831,0.653049,0.377794,73.0,0.653639,0.579934,56.005763,0.01857,4.0,2.0,3.0,1.0,0.147758,0.009158
I133,20260831,0.217468,0.650433,46.0,0.74949,0.453529,32.212716,0.10915,4.0,4.0,5.0,1.0,0.015108,0.02522
I134,20260831,0.5128,0.401298,23.0,0.125948,0.291567,38.466723,0.260802,10.0,6.0,1.0,8.0,0.089649,0.039519
I135,20260831,0.613565,0.870624,21.0,0.785985,0.349279,36.063259,0.015837,5.0,1.0,1.0,4.0,0.139712,0.032533
I136,20260831,0.247016,0.430603,15.0,0.576374,0.507799,7.532011,0.020837,5.0,5.0,5.0,8.0,0.049878,0.000441
I137,20260831,0.204441,0.366584,29.0,0.522315,0.49405,16.877409,0.117968,4.0,4.0,1.0,1.0,0.082468,0.028283
I138,20260831,0.614981,0.320937,8.0,0.379955,0.744026,7.332014,0.160968,6.0,6.0,3.0,6.0,0.077055,0.035207
I139,20260831,0.397045,0.304601,21.0,0.623576,0.621514,8.790318,0.175308,1.0,1.0,1.0,4.0,0.076677,0.011682
I140,20260831,0.277575,0.696015,31.0,0.451724,0.402353,28.72465,0.221712,6.0,6.0,3.0,4.0,0.096135,0.032979
I141,20260831,0.785237,0.13558,46.0,0.457191,0.629876,7.795242,0.001979,8.0,7.0,1.0,8.0,0.183091,0.027856
I142,20260831,0.288797,0.8615,32.0,0.217063,0.530077,36.679197,0.01486,5.0,5.0,4.0,8.0,0.043607,0.005106
I143,20260831,0.118155,0.604074,23.0,0.516095,0.459664,11.026763,0.060269,9.0,4.0,2.0,8.0,0.113642,0.016758
I144,20260831,0.607296,0.892971,34.0,0.242221,0.581706,6.671075,0.050507,3.0,3.0,4.0,4.0,0.154424,0.033334
I145,20260831,0.852366,0.234033,16.0,0.495166,0.488887,42.386871,0.249564,9.0,2.0,2.0,6.0,0.098091,0.05304
I146,20260831,0.52494,0.504867,18.0,0.880837,0.511394,45.000373,0.304632,8.0,3.0,1.0,3.0,0.124311,0.045363
I147,20260831,0.747295,0.500314,65.0,0.280767,0.362321,4.467498,0.097137,9.0,1.0,1.0,2.0,0.11493,0.007655
I148,20260831,0.603603,0.677171,58.0,0.190434,0.328128,34.77936,0.119344,11.0,1.0,2.0,2.0,0.131428,0.038862
I149,20260831,0.105258,0.107664,65.0,0.688205,0.222276,7.859343,0.059177,2.0,2.0,1.0,2.0,0.073938,0.026981
I150,20260831,0.14768,0.17214,9.0,0.333102,0.635335,37.917975,0.007991,6.0,6.0,4.0,5.0,0.117208,0.01015
I151,20260831,0.535348,0.700866,79.0,0.189556,0.659294,7.674929,0.028531,8.0,5.0,5.0,8.0,0.064621,0.0
I152,20260831,0.278479,0.347085,9.0,0.203982,0.610744,10.503917,0.2658,5.0,3.0,2.0,4.0,0.084909,0.036293
I153,20260831,0.24792,0.286772,21.0,0.612142,0.296498,19.825476,0.309594,8.0,6.0,2.0,2.0,0.032766,0.04137
I154,20260831,0.078806,0.4447,27.0,0.640916,0.25551,21.510204,0.154578,2.0,2.0,4.0,4.0,0.183696,0.041829
I155,20260831,0.335741,0.271035,10.0,0.663714,0.484788,4.484261,0.236182,6.0,4.0,3.0,5.0,0.071462,0.043667
I156,20260831,0.676084,0.567177,57.0,0.88619,0.528813,7.326356,0.181012,6.0,4.0,4.0,8.0,0.144571,0.036159
I157,20260831,0.498664,0.590955,58.0,0.620612,0.462915,33.525531,0.146687,3.0,1.0,3.0,2.0,0.08184,0.0487
I158,20260831,0.231526,0.467405,42.0,0.794269,0.328757,36.929973,0.372804,5.0,3.0,1.0,6.0,0.100477,0.079036
I159,20260831,0.520263,0.425632,37.0,0.635545,0.664466,30.17819,0.067945,3.0,2.0,5.0,4.0,0.109836,0.029547
I160,20260831,0.78162,0.808562,42.0,0.672015,0.439782,25.296693,0.199852,6.0,3.0,5.0,3.0,0.177042,0.037335
I161,20260831,0.399881,0.549889,65.0,0.460194,0.476953,32.710412,0.149285,11.0,4.0,4.0,7.0,0.075965,0.04193
I162,20260831,0.346159,0.389103,40.0,0.083306,0.571199,32.822528,0.119621,10.0,3.0,5.0,7.0,0.137349,0.028059
I163,20260831,0.563548,0.626459,41.0,0.875317,0.534107,26.351335,0.029192,10.0,6.0,1.0,8.0,0.114348,0.013538
I164,20260831,0.459408,0.603076,73.0,0.475174,0.464043,20.415551,0.242582,2.0,2.0,2.0,2.0,0.173296,0.050648
I165,20260831,0.704796,0.339925,67.0,0.464372,0.301477,24.524999,0.098118,11.0,6.0,4.0,3.0,0.173702,0.033398
I166,20260831,0.318377,0.633597,73.0,0.614645,0.547026,3.374012,0.233258,3.0,2.0,2.0,6.0,0.05921,0.037623
I167,20260831,0.236516,0.190605,28.0,0.640453,0.577803,16.846192,0.262585,1.0,1.0,5.0,1.0,0.086336,0.07167
I168,20260831,0.328985,0.693073,46.0,0.76537,0.506771,13.056537,0.220507,8.0,5.0,2.0,6.0,0.0,0.032874
I169,20260831,0.571091,0.266809,8.0,0.730778,0.50018,9.294304,0.219741,6.0,6.0,1.0,6.0,0.142576,0.043305
I170,20260831,0.431113,0.856899,68.0,0.483293,0.456886,27.550815,0.168135,11.0,3.0,4.0,5.0,0.0,0.002275
I171,20260831,0.289314,0.449137,60.0,0.818391,0.459003,10.088751,0.248991,11.0,1.0,3.0,5.0,0.058792,0.042869
I172,20260831,0.353084,0.62559,56.0,0.523524,0.361401,51.829082,0.069443,8.0,1.0,2.0,5.0,0.082572,0.02407
I173,20260831,0.219225,0.605093,74.0,0.803669,0.458925,28.425009,0.004166,7.0,3.0,3.0,1.0,0.105811,0.003791
I174,20260831,0.502728,0.496932,29.0,0.631435,0.249927,13.686751,0.154273,4.0,3.0,4.0,2.0,0.14151,0.023642
I175,20260831,0.414457,0.182704,66.0,0.087379,0.530303,4.17781,0.115357,6.0,6.0,4.0,7.0,0.121716,0.037462
I176,20260831,0.302622,1.0,74.0,0.358512,0.527201,18.060257,0.146181,5.0,5.0,2.0,2.0,0.064359,0.024098
I177,20260831,0.689917,0.584532,70.0,0.806923,0.608152,15.284728,0.065665,1.0,1.0,2.0,4.0,0.201122,0.026183
I178,20260831,0.637368,0.485282,38.0,0.547857,0.641792,45.524172,0.070422,6.0,4.0,1.0,7.0,0.122577,0.02332
I179,20260831,0.254181,0.477174,55.0,0.333475,0.449847,17.230672,0.069708,2.0,2.0,5.0,5.0,0.115939,0.021086
I180,20260831,0.381198,0.450087,36.0,0.535233,0.43759,34.18066,0.073268,10.0,4.0,2.0,7.0,0.068098,0.017693
I181,20260831,0.595673,0.37016,57.0,0.873612,0.624185,25.362431,0.172384,6.0,5.0,4.0,1.0,0.083132,0.045119
I182,20260831,0.678078,0.7281,71.0,0.58581,0.509442,20.746465,0.238465,6.0,2.0,3.0,2.0,0.041792,0.032018
I183,20260831,0.479167,0.253527,19.0,0.734687,0.476168,16.073018,0.157119,5.0,3.0,4.0,7.0,0.127998,0.039437
I184,20260831,0.58312,0.159381,44.0,0.650887,0.291217,23.368311,0.542129,1.0,1.0,2.0,8.0,0.063279,0.073616
I185,20260831,0.566952,0.709965,38.0,0.423791,0.409918,15.196871,0.209898,3.0,3.0,5.0,6.0,0.036805,0.034045
